"source","referenced_in_root_cmake","targets","win32ide","status"
"src/deep2/PatchCache.cpp","true","Deep2_Production_Bench;RawrXD-Win32IDE","true","built"
"src/deep2/production/Deep2ProductionRuntime.cpp","false","","false","cmake-orphan"
"src/deep2/QuantKernelRegistry.cpp","true","Deep2_Production_Bench","false","built"
"src/deep2/RawrXDInferenceAdapter.cpp","false","","false","cmake-orphan"
"src/deep2/reverse_integration_standalone_test.cpp","false","","false","cmake-orphan"
"src/deep2/ReverseHotpatchEngine.cpp","true","Deep2_Production_Bench","false","built"
"src/deep2/ReverseIntegration.cpp","true","Deep2_Production_Bench","false","built"
"src/deep2/ReverseTensorRecovery.cpp","true","Deep2_Production_Bench;RawrXD-Win32IDE","true","built"
"src/deep2/router_bench.cpp","false","","false","cmake-orphan"
"src/deep2/router_latency_test.cpp","false","","false","cmake-orphan"
"src/deep2/RuntimePlanner.cpp","false","","false","cmake-orphan"
"src/deep2/ShardRouterIntegration.cpp","true","RawrXD-Win32IDE","true","built"
"src/deep2/SlidingWindowEngine.cpp","true","Deep2_Production_Bench","false","built"
"src/deep2/StreamEngine.cpp","true","Deep2_Production_Bench;RawrXD-Win32IDE","true","built"
"src/deep2/StreamRouter.cpp","false","","false","cmake-orphan"
"src/deep2/TensorHop.cpp","true","Deep2_Production_Bench","false","built"
"src/deep2/test_api_server.cpp","false","","false","cmake-orphan"
"src/deep2/test_gguf_fix.cpp","false","","false","cmake-orphan"
"src/deep2/test_real_gguf_load.cpp","false","","false","cmake-orphan"
"src/deep2/test_real_gguf_validate.cpp","false","","false","cmake-orphan"
"src/deep2/test_tool_limit_hotpatch.cpp","false","","false","cmake-orphan"
"src/deep2/tests/numerical/kernel_test.cpp","false","","false","cmake-orphan"
"src/deep2/tests/numerical/layer_compare.cpp","false","","false","cmake-orphan"
"src/deep2/TheDualityExample.cpp","false","","false","cmake-orphan"
"src/deep2/ThreadPool.cpp","true","Deep2_Production_Bench","false","built"
"src/deep2/TrailBrake.cpp","true","Deep2_Production_Bench;RawrXD-Win32IDE","true","built"
"src/deep2/TrailBrakeExample.cpp","false","","false","cmake-orphan"
"src/deep2/UniversalModelLoader.cpp","false","","false","cmake-orphan"
"src/deep2/val000_integration_test.cpp","false","","false","cmake-orphan"
"src/deep2/VAL038_Benchmark_Harness.cpp","false","","false","cmake-orphan"
"src/deep2/val038_deepseek_moe_e2e.cpp","false","","false","cmake-orphan"
"src/deep2/VAL063_Deep2Certification.cpp","false","","false","cmake-orphan"
"src/deep2/validation/Deep2Validation.cpp","false","","false","cmake-orphan"
"src/deep2/WarmupScheduler.cpp","true","Deep2_Production_Bench","false","built"
