"source","target","target_type","exclude_from_all","target_family","production","win32ide","deep2","test","benchmark","conditional","duplicate_family","stub_risk","line"
"src/core/native_debugger_engine.cpp","RawrEngine","executable","false","shipped/product","true","false","false","false","false","true","","false","2050"
"src/core/native_debugger_engine.cpp","RawrXD_Gold","executable","false","shipped/product","true","false","false","false","false","false","","false","2376"
"src/core/native_debugger_symbols.cpp","RawrEngine","executable","false","shipped/product","true","false","false","false","false","true","","false","2050"
"src/core/native_debugger_symbols.cpp","RawrXD_Gold","executable","false","shipped/product","true","false","false","false","false","false","","false","2376"
"src/core/native_gguf_loader_link_impl.cpp","RawrXD_Gold","executable","false","shipped/product","true","false","false","false","false","false","","false","2376"
"src/core/native_gguf_loader_link_impl.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/native_inference_pipeline.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/native_speed_layer.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/neural_bridge.cpp","RawrXD_Gold","executable","false","shipped/product","true","false","false","false","false","false","","false","2376"
"src/core/neural_bridge.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/neurological_diff.cpp","RawrXD-ModelAnalysisLib","library","true","excluded/experimental","false","false","false","false","false","true","","false","6594"
"src/core/omega_asm_native_kernel.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/omega_orchestrator.cpp","RawrXD_Gold","executable","false","shipped/product","true","false","false","false","false","false","","false","2376"
"src/core/omega_orchestrator.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/patch_rollback_ledger.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/pdb_gsi_hash.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/pdb_lsp_bridge.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/pdb_native.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/pdb_reference_provider.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/perf_telemetry.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/plugin_signature.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/problems_aggregator.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/problems_panel_bridge.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/production_release.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/proxy_hotpatcher.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/pt_driver_contract.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/quant_hysteresis.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/quantum_safe_transport.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/quickjs_sandbox.cpp","RawrXD-Win32IDE","executable","false","shipped/product","true","true","false","false","false","true","","false","5079"
"src/core/rawrengine_command_handlers.cpp","RawrXD_Gold","executable","false","shipped/product","true","false","false","false","false","false","","false","2376"
