NAME                                 ID         SIZE
Qwen3.5-40B-Claude-4.6-Opus-Deckard-Heretic-Uncensored-Thinking.Q8_0 a7bc6b97     38.7 GB
Qwen3.6-27B-Fable-Fus-711-UnHeretic-NM-DAU-NEO-MAX-NEO-MTP-Q4_K_M 425ab959     17.2 GB
Qwen3.6-35B-A3B-Q4_K_M               7d97d204     19.7 GB
Qwen3.8-27B-AD-Q4_K_M                83ef6d84     15.9 GB
Codestral-22B-v0.1-Q4_K_M            d6df8ba4     11.8 GB
gptoss20b                            41b73897     12.8 GB
ministral3_q4_0                      1e491153      4.8 GB
phi-3-mini-4k-instruct.Q4_K_M        68429f81      0.0 KB
corrupt_header                       3743df51      0.0 KB
metadata_mismatch                    0c71b734      0.1 KB
unsupported_quant                    8e5ef21d      0.1 KB
proper                               5114a2ef      1.0 KB
Qwen3.5-40B-Q4_K_M                   6af28fb2      6.0 GB
gemma3-1b-Q2_K                       a8c89074    666.7 MB
llama3.2-3b-Q2_K                     2466e723      1.3 GB
llama3.2-3b-Q3_K_S                   2314be1d      1.4 GB
phi3-mini-Q2_K                       858830ed      1.4 GB
gemma3-1b-Q2_K                       41047fff    666.7 MB
llama3.2-3b-Q2_K                     9c80d718      1.3 GB
llama3.2-3b-Q3_K_S                   5e831c31      1.4 GB
phi3-mini-Q2_K                       cbaa8678      1.4 GB
frag                                 d2f3705d      4.0 GB
tinyllama_fresh                      1a116a08    608.2 MB
_test_model                          ce181950    532.8 KB
unlock-125M-Q2_K                     63aa6ff0      1.9 GB
tinyllama_fresh                      793b4b39    608.2 MB
phi3-mini-Q2_K                       851e4bbf      1.4 GB
codestral22b                         1e9e3f42     11.8 GB
BigDaddyG-F32-FROM-Q4                401aeac7     36.2 GB
BigDaddyG-NO-REFUSE-Q4_K_M           21febb06     36.2 GB
BigDaddyG-Q2_K-CHEETAH               654cfabc     23.7 GB
BigDaddyG-Q2_K-PRUNED-16GB           ca81746e     15.8 GB
BigDaddyG-Q2_K-ULTRA                 66259931     23.7 GB
BigDaddyG-UNLEASHED-Q4_K_M           9a07f1bc     36.2 GB
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M     f94cd414      4.7 GB
DeepSeek-R1-Q4_K_M-COMPLETE          03793788    376.7 GB
DeepSeek-R1-Q4_K_M                   bb8c1fc4    109.7 GB
gemma-4-31B-it-Q4_K_M                fcb3943f     17.4 GB
gemma-4-E4B-it-Q4_K_M                7fcc1182      5.0 GB
GLM-4.7-Flash-Q4_K_M                 0eabc1d6     16.9 GB
Q4_K_M                               6ee356af    578.6 GB
MiniMax-M2.7-Q4_K_M                  69a4fd07    128.8 GB
NVIDIA-Nemotron-3-Nano-4B-Q8_0       8ca539b4      3.9 GB
Phi-3-medium-128k-instruct-Q4_K_M    3cc602ae      8.0 GB
Phi-3-mini-4k-instruct-q8_0          f23a5908      2.0 GB
qwen2.5-coder-14b-instruct-q8_0      263c6bb6     14.6 GB
Qwen3.5-40B-Claude-4.6-Opus-Deckard-Heretic-Uncensored-Thinking.Q4_K_M 860b0a62     22.3 GB
Qwen3.5-40B-Claude-4.6-Opus-Deckard-Heretic-Uncensored-Thinking.Q8_0 c8589d0a     38.7 GB
Qwen3.6-27B-Fable-Fus-711-UnHeretic-NM-DAU-NEO-MAX-NEO-MTP-Q4_K_M 6756742c     17.2 GB
Qwen3.6-35B-A3B-Q4_K_M               21d91e6d     19.7 GB
Qwen3.8-27B-AD-Q4_K_M                efad86b6     15.9 GB
