MENU_STATE phase=RESTORE_SESSION_PANELS_OK hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=RESTORE_SESSION_EDITOR_OK hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=RESTORE_SESSION_ANNOTATIONS_OK hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=RESTORE_SESSION_THEME_OK hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=RESTORE_SESSION_CWD_DEFERRED hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=RESTORE_SESSION_MODEL_BEGIN hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=RESTORE_SESSION_MODEL_PATH_OK hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=RESTORE_SESSION_COMPLETE hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=BEFORE_DEFERRED_INIT hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=RESTORE_CWD_BEGIN hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=RESTORE_SESSION_CWD_OK hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=DEFERRED_CHILDREN_BEGIN hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=BEFORE_DEFERRED_CHILDREN hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=DEFERRED_CHILD_01 hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=DEFERRED_CHILD_01_OK hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=DEFERRED_CHILD_02 hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=DEFERRED_CHILD_02_OK hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=DEFERRED_CHILD_03 hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=DEFERRED_CHILD_03_OK hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=DEFERRED_CHILD_04 hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=DEFERRED_CHILD_04_OK hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=DEFERRED_CHILD_05 hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=DEFERRED_CHILD_06_OK hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=AFTER_DEFERRED_CHILDREN hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=DEFERRED_CHILDREN_COMPLETE hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=AFTER_COMMAND_AUTHORITY_INIT hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=BEFORE_DEFERRED_HEAVY hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=HEAVY_STEP_logger_init hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=HEAVY_STEP_streaming_gguf_loader hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=HEAVY_STEP_enterprise_license hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=IDLE_ENTERED hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=WM_ENTERIDLE_STABLE hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=IDLE_STABLE hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=HEAVY_STEP_cpu_inference_engine hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=HEAVY_STEP_transparent_renderer hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=HEAVY_STEP_powershell_state hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=HEAVY_STEP_code_snippets hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=HEAVY_STEP_native_agent hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=HEAVY_STEP_extension_loader hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=HEAVY_STEP_agentic_bridge hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=HEAVY_STEP_ai_panels hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=HEAVY_STEP_ghost_text hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=HEAVY_STEP_failure_detector hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=HEAVY_STEP_agent_panel hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=HEAVY_STEP_load_apply_settings hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
MENU_STATE phase=HEAVY_STEP_agent_history hwnd=0000000000A1092A live=000000000EFF0BDF auth=000000000EFF0BDF gen=1 valid=1 count=23 detached=0 destroying=0
