ARCH-CERT-001: GGUF Tensor/Operation Inventory
Model: F:\~dev\tinyllama_fresh.gguf
GGUF version: 3
Tensor count: 201
Tensor data offset: 1709440

=== Category Summary ===
Category,Count,ApproxSize
embedding,1,65536000
attention,88,115388416
ffn,88,761311232
output,24,157812736

=== Full Inventory ===
Name,Type,Shape,Offset,Size,Category
blk.17.ffn_up.weight,Q4_0,2048x5632,328418688,11534336,ffn
blk.17.ffn_norm.weight,F32,2048,334906752,2048,ffn
blk.17.attn_k.weight,Q4_0,2048x256,334914944,524288,attention
blk.17.attn_output.weight,Q4_0,2048x2048,335209856,4194304,output
blk.17.attn_q.weight,Q4_0,2048x2048,337569152,4194304,attention
blk.17.attn_v.weight,Q4_0,2048x256,339928448,524288,attention
blk.18.attn_norm.weight,F32,2048,340223360,2048,attention
blk.18.ffn_down.weight,Q4_0,5632x2048,340231552,11534336,ffn
blk.18.ffn_gate.weight,Q4_0,2048x5632,346719616,11534336,ffn
blk.18.ffn_up.weight,Q4_0,2048x5632,353207680,11534336,ffn
blk.18.ffn_norm.weight,F32,2048,359695744,2048,ffn
blk.18.attn_k.weight,Q4_0,2048x256,359703936,524288,attention
blk.18.attn_output.weight,Q4_0,2048x2048,359998848,4194304,output
blk.18.attn_q.weight,Q4_0,2048x2048,362358144,4194304,attention
blk.18.attn_v.weight,Q4_0,2048x256,364717440,524288,attention
blk.19.attn_norm.weight,F32,2048,365012352,2048,attention
blk.19.ffn_down.weight,Q4_0,5632x2048,365020544,11534336,ffn
blk.19.ffn_gate.weight,Q4_0,2048x5632,371508608,11534336,ffn
blk.19.ffn_up.weight,Q4_0,2048x5632,377996672,11534336,ffn
blk.19.ffn_norm.weight,F32,2048,384484736,2048,ffn
blk.19.attn_k.weight,Q4_0,2048x256,384492928,524288,attention
blk.19.attn_output.weight,Q4_0,2048x2048,384787840,4194304,output
blk.19.attn_q.weight,Q4_0,2048x2048,387147136,4194304,attention
blk.19.attn_v.weight,Q4_0,2048x256,389506432,524288,attention
blk.2.attn_norm.weight,F32,2048,389801344,2048,attention
blk.2.ffn_down.weight,Q4_0,5632x2048,389809536,11534336,ffn
blk.2.ffn_gate.weight,Q4_0,2048x5632,396297600,11534336,ffn
blk.2.ffn_up.weight,Q4_0,2048x5632,402785664,11534336,ffn
blk.2.ffn_norm.weight,F32,2048,409273728,2048,ffn
blk.2.attn_k.weight,Q4_0,2048x256,409281920,524288,attention
blk.2.attn_output.weight,Q4_0,2048x2048,409576832,4194304,output
blk.2.attn_q.weight,Q4_0,2048x2048,411936128,4194304,attention
blk.2.attn_v.weight,Q4_0,2048x256,414295424,524288,attention
blk.20.attn_norm.weight,F32,2048,414590336,2048,attention
blk.20.ffn_down.weight,Q4_0,5632x2048,414598528,11534336,ffn
blk.20.ffn_gate.weight,Q4_0,2048x5632,421086592,11534336,ffn
blk.20.ffn_up.weight,Q4_0,2048x5632,427574656,11534336,ffn
blk.20.ffn_norm.weight,F32,2048,434062720,2048,ffn
blk.20.attn_k.weight,Q4_0,2048x256,434070912,524288,attention
blk.20.attn_output.weight,Q4_0,2048x2048,434365824,4194304,output
blk.20.attn_q.weight,Q4_0,2048x2048,436725120,4194304,attention
blk.20.attn_v.weight,Q4_0,2048x256,439084416,524288,attention
blk.21.attn_norm.weight,F32,2048,439379328,2048,attention
blk.21.ffn_down.weight,Q4_0,5632x2048,439387520,11534336,ffn
blk.21.ffn_gate.weight,Q4_0,2048x5632,445875584,11534336,ffn
blk.21.ffn_up.weight,Q4_0,2048x5632,452363648,11534336,ffn
blk.21.ffn_norm.weight,F32,2048,458851712,2048,ffn
blk.21.attn_k.weight,Q4_0,2048x256,458859904,524288,attention
