ARCH-CERT-001: GGUF Tensor/Operation Inventory
Model: F:\~dev\Qwen3.5-40B-Q4_K_M.gguf
GGUF version: 3
Tensor count: 1275
Tensor data offset: 11020224

=== Category Summary ===
Category,Count,ApproxSize
embedding,1,1271398400
attention,360,7801909248
ffn,288,25669140480
norm,96,491520
output,26,2026378240
ssm,432,2300329728
conv,72,2949120

=== Full Inventory ===
Name,Type,Shape,Offset,Size,Category
blk.6.attn_gate.weight,Q4_K,5120x6144,3229407552,31457280,attention
blk.6.attn_norm.weight,F32,5120,3247102272,5120,attention
blk.6.attn_qkv.weight,Q5_K,5120x10240,3247122752,52428800,attention
blk.6.ffn_down.weight,Q6_K,17408x5120,3283167552,89128960,ffn
blk.6.ffn_gate.weight,Q4_K,5120x17408,3356281152,89128960,ffn
blk.6.ffn_up.weight,Q4_K,5120x17408,3406416192,89128960,ffn
blk.6.post_attention_norm.weight,F32,5120,3456551232,5120,norm
blk.6.ssm_a,F32,48,3456571712,48,ssm
blk.6.ssm_alpha.weight,Q4_K,5120x48,3456571904,245760,ssm
blk.6.ssm_beta.weight,Q4_K,5120x48,3456710144,245760,ssm
blk.6.ssm_conv1d.weight,F32,4x10240,3456848384,40960,conv
blk.6.ssm_dt.bias,F32,48,3457012224,48,ssm
blk.6.ssm_norm.weight,F32,128,3457012416,128,ssm
blk.6.ssm_out.weight,Q4_K,6144x5120,3457012928,31457280,ssm
blk.7.attn_k.weight,Q4_K,5120x1024,3474707648,5242880,attention
blk.7.attn_k_norm.weight,F32,256,3477656768,256,attention
blk.7.attn_norm.weight,F32,5120,3477657792,5120,attention
blk.7.attn_output.weight,Q4_K,6144x5120,3477678272,31457280,output
blk.7.attn_q.weight,Q4_K,5120x12288,3495372992,62914560,attention
blk.7.attn_q_norm.weight,F32,256,3530762432,256,attention
blk.7.attn_v.weight,Q6_K,5120x1024,3530763456,5242880,attention
blk.7.ffn_down.weight,Q6_K,17408x5120,3535064256,89128960,ffn
blk.7.ffn_gate.weight,Q4_K,5120x17408,3608177856,89128960,ffn
blk.7.ffn_up.weight,Q4_K,5120x17408,3658312896,89128960,ffn
blk.7.post_attention_norm.weight,F32,5120,3708447936,5120,norm
blk.8.attn_gate.weight,Q4_K,5120x6144,3708468416,31457280,attention
blk.8.attn_norm.weight,F32,5120,3726163136,5120,attention
blk.8.attn_qkv.weight,Q5_K,5120x10240,3726183616,52428800,attention
blk.8.ffn_down.weight,Q6_K,17408x5120,3762228416,89128960,ffn
blk.8.ffn_gate.weight,Q4_K,5120x17408,3835342016,89128960,ffn
blk.8.ffn_up.weight,Q4_K,5120x17408,3885477056,89128960,ffn
blk.8.post_attention_norm.weight,F32,5120,3935612096,5120,norm
blk.8.ssm_a,F32,48,3935632576,48,ssm
blk.8.ssm_alpha.weight,Q4_K,5120x48,3935632768,245760,ssm
blk.8.ssm_beta.weight,Q4_K,5120x48,3935771008,245760,ssm
blk.8.ssm_conv1d.weight,F32,4x10240,3935909248,40960,conv
blk.8.ssm_dt.bias,F32,48,3936073088,48,ssm
blk.8.ssm_norm.weight,F32,128,3936073280,128,ssm
blk.8.ssm_out.weight,Q4_K,6144x5120,3936073792,31457280,ssm
blk.9.attn_gate.weight,Q4_K,5120x6144,3953768512,31457280,attention
blk.9.attn_norm.weight,F32,5120,3971463232,5120,attention
blk.9.attn_qkv.weight,Q5_K,5120x10240,3971483712,52428800,attention
blk.9.ffn_down.weight,Q6_K,17408x5120,4007528512,89128960,ffn
blk.9.ffn_gate.weight,Q4_K,5120x17408,4080642112,89128960,ffn
blk.9.ffn_up.weight,Q4_K,5120x17408,4130777152,89128960,ffn
blk.9.post_attention_norm.weight,F32,5120,4180912192,5120,norm
blk.9.ssm_a,F32,48,4180932672,48,ssm
blk.9.ssm_alpha.weight,Q4_K,5120x48,4180932864,245760,ssm
blk.9.ssm_beta.weight,Q4_K,5120x48,4181071104,245760,ssm
blk.9.ssm_conv1d.weight,F32,4x10240,4181209344,40960,conv
blk.9.ssm_dt.bias,F32,48,4181373184,48,ssm
blk.9.ssm_norm.weight,F32,128,4181373376,128,ssm
blk.9.ssm_out.weight,Q4_K,6144x5120,4181373888,31457280,ssm
blk.10.attn_gate.weight,Q4_K,5120x6144,4199068608,31457280,attention
blk.10.attn_norm.weight,F32,5120,4216763328,5120,attention
blk.10.attn_qkv.weight,Q5_K,5120x10240,4216783808,52428800,attention
blk.10.ffn_down.weight,Q6_K,17408x5120,4252828608,89128960,ffn
blk.10.ffn_gate.weight,Q4_K,5120x17408,4325942208,89128960,ffn
blk.10.ffn_up.weight,Q4_K,5120x17408,4376077248,89128960,ffn
blk.10.post_attention_norm.weight,F32,5120,4426212288,5120,norm
blk.10.ssm_a,F32,48,4426232768,48,ssm
blk.10.ssm_alpha.weight,Q4_K,5120x48,4426232960,245760,ssm
blk.10.ssm_beta.weight,Q4_K,5120x48,4426371200,245760,ssm
blk.10.ssm_conv1d.weight,F32,4x10240,4426509440,40960,conv
blk.10.ssm_dt.bias,F32,48,4426673280,48,ssm
blk.10.ssm_norm.weight,F32,128,4426673472,128,ssm
blk.10.ssm_out.weight,Q4_K,6144x5120,4426673984,31457280,ssm
