Magic:    b'GGUF'
Version:  3
Tensors:  98
Metadata: 63
Metadata end:      6911082
Tensor info start: 6911082
Tensor info end:   6917260
Data offset:       6917280
Tensors parsed:    98

Idx  Name                                          Dims                      Type     RelOff       AbsOff      
74   blk.4.attn_output.weight                      8192x7168                 Q6_K     35170462208  35177379488 
75   blk.4.attn_q_a.weight                         7168x1536                 Q6_K     35203492352  35210409632 
76   blk.4.attn_q_a_norm.weight                    1536                      F32      35209685504  35216602784 
77   blk.4.attn_q_b.weight                         1536x12288                Q6_K     35209691648  35216608928 
78   blk.4.attn_v_b.weight                         512x128x64                Q2_K     35220308480  35227225760 
79   blk.4.exp_probs_b.bias                        384                       F32      35224764928  35231682208 
80   blk.4.ffn_down_exps.weight                    2048x7168x384             IQ2_XXS  35224766464  35231683744 
81   blk.4.ffn_down_shexp.weight                   2048x7168                 IQ2_XXS  39848986624  39855903904 
82   blk.4.ffn_gate_exps.weight                    7168x2048x384             Q6_K     39861028864  39867946144 
83   blk.4.ffn_gate_inp.weight                     7168x384                  F32      43031922688  43038839968 
84   blk.4.ffn_gate_shexp.weight                   7168x2048                 Q8_K     43042932736  43049850016 
85   blk.4.ffn_norm.weight                         7168                      F32      43053025280  43059942560 
86   blk.4.ffn_up_exps.weight                      7168x2048x384             Q6_K     43053053952  43059971232 
87   blk.4.ffn_up_shexp.weight                     7168x2048                 Q8_K     46223947776  46230865056 
88   blk.5.attn_k_b.weight                         128x512x64                Q2_K     46234040320  46240957600 
89   blk.5.attn_kv_a_mqa.weight                    7168x576                  Q2_K     46238496768  46245414048 
90   blk.5.attn_kv_a_norm.weight                   512                       F32      46242883584  46249800864 
91   blk.5.attn_norm.weight                        7168                      F32      46242885632  46249802912 
92   blk.5.attn_output.weight                      8192x7168                 Q6_K     46242914304  46249831584 
93   blk.5.attn_q_a.weight                         7168x1536                 Q6_K     46275944448  46282861728 
94   blk.5.attn_q_a_norm.weight                    1536                      F32      46282137600  46289054880 
95   blk.5.attn_q_b.weight                         1536x12288                Q6_K     46282143744  46289061024 
96   blk.5.attn_v_b.weight                         512x128x64                Q2_K     46292760576  46299677856 
97   blk.5.exp_probs_b.bias                        384                       F32      46297217024  46304134304 
